Rank,Region,Year Ending March 2023-Trips,Year Ending March 2024-Trips,Year Ending March 2023-Regional expenditure ($M),Year Ending March 2024-Regional expenditure ($M),Year Ending March 2023-Avg. expenditure per trip,Year Ending March 2024-Avg. expenditure per trip,,
1,Sydney,24 416,24 132,3 485,3 955, 143, 164,,
2,Melbourne,21 296,20 498,3 153,3 296, 148, 161,,
3,Brisbane,17 353,17 074,2 385,2 422, 137, 142,,
4,Destination Perth,15 618,15 110,1 979,2 077, 127, 137,,
5,Hunter,6 908,7 272, 967, 973, 140, 134,,
6,North Coast NSW,6 164,7 250, 960,1 073, 156, 148,,
7,Gold Coast,8 094,6 906,1 168,1 035, 144, 150,,
8,South Coast,7 883,6 773, 963, 950, 122, 140,,
9,Sunshine Coast,6 200,6 429, 770, 844, 124, 131,,
10,Peninsula,6 423,5 992, 797, 743, 124, 124,,
11,Adelaide,4 957,5 229, 747, 853, 151, 163,,
12,Yarra Valley and Dandenong Ranges,3 853,4 935, 457, 606, 119, 123,,
13,Queensland Country,4 889,4 587, 797, 860, 163, 188,,
14,Geelong and the Bellarine,4 533,4 302, 618, 827, 136, 192,,
15,Central Coast,4 031,3 679, 483, 519, 120, 141,,
16,Australia's South West,4 115,3 536, 681, 689, 166, 195,,
17,Gippsland,2 880,2 992, 400, 374, 139, 125,,
18,Blue Mountains,2 855,2 957, 303, 359, 106, 122,,
19,Central NSW,3 442,2 854, 691, 607, 201, 213,,
20,Capital Country,2 729,2 824, 390, 358, 143, 127,,
21,Great Ocean Road,3 380,2 781, 447, 385, 132, 139,,
22,Bendigo Loddon,3 306,2 629, 515, 366, 156, 139,,
23,High Country,2 844,2 525, 438, 274, 154, 108,,
24,Tropical North Queensland,2 411,2 429, 489, 421, 203, 173,,
25,Fleurieu Peninsula,2 938,2 416, 333, 243, 113, 101,,
26,Ballarat,2 040,2 217, 306,np, 150,np,,
27,Canberra,2 255,2 204, 593, 641, 263, 291,,
28,Hobart and the South,2 361,2 174, 283, 283, 120, 130,,
29,Phillip Island,1 160,1 990, 157, 311, 135, 156,,
30,New England North West,1 899,1 915, 363, 460, 191, 240,,
31,Goulburn,1 636,1 651, 317, 282, 194, 171,,
32,Townsville,1 808,1 555, 358, 219, 198, 141,,
33,Capricorn Coast, 905,1 551,np, 232,np, 149,,
34,Launceston and the North,1 783,1 536, 236, 219, 133, 143,,
35,Riverina,1 550,1 513, 403, 482, 260, 318,,
36,Adelaide Hills,1 305,1 422, 123, 144, 94, 101,,
37,Macedon,1 607,1 417, 148, 129, 92, 91,,
38,North West,1 376,1 276, 188,np, 136,np,,
39,The Murray,1 332,1 225, 201, 250, 151, 204,,
40,Australia's Coral Coast, 838,1 129, 142, 170, 169, 151,,
41,Australia's Golden Outback, 895,1 010, 145,np, 162,np,,
42,Central Murray, 942, 928, 162,np, 172,np,,
43,Mackay,1 128, 916, 252,np, 223,np,,
44,Bundaberg, 580, 884, 141, 127, 243, 143,,
45,Fraser Coast, 752, 860, 120, 137, 160, 160,,
46,"Murray River, Lakes and Coorong",1 046, 814,np,np,np,np,,
47,Barossa,1 092, 753, 149, 79, 137, 104,,
48,Lakes, 625, 749, 155, 104, 247, 139,,
49,Limestone Coast, 825, 740, 144, 158, 175, 214,,
50,Yorke Peninsula, 714, 733, 99,np, 139,np,,
