Rank,Region,Trips 2023,Trips 2024,Visitor nights 2023,Visitor nights 2024,Expenditure 2023,Expenditure 2024,Avg. expenditure per trip 2023,Avg. expenditure per trip 2024
1,Sydney,10 723,10 978,29 243,31 819,10 716,11 751, 999,1 070
2,Melbourne,9 420,10 366,28 665,30 073,11 310,11 908,1 201,1 149
3,Brisbane,7 407,7 234,23 205,22 381,6 868,7 357, 927,1 017
4,North Coast NSW,5 623,5 740,20 846,20 041,4 920,4 718, 875, 822
5,South Coast,4 696,4 953,15 166,16 422,3 111,3 260, 662, 658
6,Destination Perth,4 748,4 458,15 847,16 009,5 226,5 471,1 101,1 227
7,Gold Coast,4 222,4 081,15 413,14 546,5 621,5 283,1 331,1 294
8,Sunshine Coast,4 125,4 157,14 382,14 529,4 411,3 817,1 069, 918
9,Hunter,4 468,4 815,11 824,13 275,3 071,3 134, 687, 651
10,Tropical North Queensland,2 496,2 283,13 762,11 701,4 299,3 827,1 722,1 676
11,Adelaide,3 098,3 319,10 555,11 138,3 469,4 000,1 120,1 205
12,Australia's South West,3 207,3 059,10 666,10 215,2 279,2 416, 711, 790
13,Australia's North West,1 495,1 476,11 479,10 123,1 692,1 761,1 132,1 194
14,Queensland Country,3 110,2 886,8 740,8 727,1 517,1 556, 488, 539
15,Canberra,3 188,3 105,8 571,8 633,2 424,2 497, 760, 804
16,Australia's Golden Outback,1 327,1 415,7 018,8 450, 927,1 148, 699, 811
17,High Country,2 646,2 503,7 509,7 398,1 938,1 800, 733, 719
18,Central NSW,2 677,2 817,7 568,7 037,1 679,1 859, 627, 660
19,Great Ocean Road,2 462,2 486,7 261,7 007,1 459,1 653, 593, 665
20,Hobart and the South,1 718,1 618,6 480,6 091,2 031,2 118,1 182,1 309
21,New England North West,1 618,1 886,4 823,5 127, 875, 905, 540, 480
22,Peninsula,1 804,1 987,4 957,4 928,1 018,1 078, 564, 542
23,Geelong and the Bellarine,1 693,1 823,4 679,4 745, 948,1 012, 560, 555
24,Central Coast,1 659,1 844,4 548,4 733, 855, 981, 515, 532
25,Australia's Coral Coast,1 116,1 000,4 872,4 399, 906, 948, 812, 948
26,Townsville,1 144,1 199,4 697,4 355,1 116,1 182, 975, 985
27,Mackay,1 207,1 113,4 269,3 981, 726, 774, 602, 695
28,Gippsland,1 648,1 417,4 316,3 917, 568, 509, 345, 359
29,Capital Country,1 670,1 754,3 784,3 898, 787, 785, 471, 448
30,Outback Queensland,1 058, 859,4 716,3 886, 867, 762, 819, 887
31,Snowy Mountains,1 081,1 005,3 689,3 379,1 269, 831,1 174, 826
32,The Murray,1 414,1 376,3 396,3 378, 800, 737, 566, 536
33,Flinders Ranges and Outback, 867, 680,3 570,3 200, 560, 451, 646, 662
34,Fraser Coast, 850, 891,3 286,3 187, 735, 633, 865, 711
35,Riverina,1 383,1 225,3 359,3 020, 620, 646, 448, 528
36,Launceston and the North, 908, 986,2 724,2 984, 777, 816, 856, 827
37,Blue Mountains,1 353,1 220,3 381,2 968, 613, 702, 453, 576
38,Bendigo Loddon,1 416,1 307,3 111,2 942, 658, 544, 465, 417
39,Darwin, 807, 669,4 232,2 918,1 422,1 225,1 761,1 830
40,Phillip Island,1 169,1 007,3 534,2 720, 682, 558, 583, 555
41,Lakes, 799, 899,2 606,2 697, 441, 506, 552, 563
42,Whitsundays, 862, 722,4 732,2 648,1 588,1 228,1 841,1 699
43,Central Murray, 831, 896,2 185,2 524, 450, 454, 541, 507
44,Mallee, 749, 796,1 950,2 408, 444, 500, 593, 628
45,Bundaberg, 675, 623,2 055,2 390, 360, 475, 533, 763
46,Capricorn Coast, 852, 776,2 962,2 361, 687, 688, 806, 886
47,Outback NSW, 620, 656,2 465,2 305, 473, 508, 763, 775
48,Ballarat, 795, 998,1 622,2 191, 398, 452, 501, 453
49,Limestone Coast, 645, 768,1 707,2 055, 340, 350, 528, 456
50,North West, 635, 640,1 853,1 967, 557, 459, 877, 718
